d3mIndex,sourceNode,targetNode,linkExists
0,4,3,1
1,7,5,1
2,15,24,0
3,12,16,0
4,10,15,0
5,27,33,0
6,18,27,0
7,15,31,0
8,34,24,1
9,9,34,1
10,6,34,0
11,5,26,0
12,7,10,0
13,3,28,1
14,32,29,1
15,4,25,0
16,18,21,0
17,2,26,0
18,5,25,0
19,5,33,0
20,12,25,0
21,3,33,1
22,4,27,0
23,9,11,0
24,22,23,0
25,13,4,1
26,9,23,0
27,6,17,1
28,4,16,0
29,2,11,0
30,1,3,1
31,11,5,1
32,33,19,1
33,5,27,0
34,26,25,1
35,9,33,1
36,13,4,1
37,4,3,1
38,1,5,1
39,10,34,1
40,30,27,1
41,33,23,1
42,4,9,0
43,25,34,0
44,12,34,0
45,2,31,1
46,8,11,0
47,3,2,1
48,13,28,0
49,3,34,0
50,9,3,1
51,2,24,0
52,28,24,1
53,15,27,0
54,1,4,1
55,34,27,1
56,5,22,0
57,8,2,1
58,7,15,0
59,19,32,0
60,10,17,0
61,33,19,1
62,32,33,1
63,1,2,1
64,4,24,0
65,7,17,1
66,29,34,1
67,22,28,0
68,8,18,0
69,28,34,1
70,1,34,0
71,14,28,0
72,10,34,1
73,1,4,1
74,1,8,1
75,1,9,1
76,2,13,0
77,31,33,1
78,1,20,1
79,15,20,0
80,28,34,1
81,26,33,0
82,2,31,1
83,14,3,1
84,1,3,1
85,6,26,0
86,7,13,0
87,21,32,0
88,4,22,0
89,4,11,0
90,33,24,1
91,4,29,0
92,32,25,1
93,11,20,0
94,8,4,1
95,33,15,1
96,20,2,1
97,1,5,1
98,1,32,1
99,32,34,1
100,3,23,0
101,33,30,1
102,14,2,1
103,32,26,1
104,2,24,0
105,18,2,1
106,24,26,1
107,17,24,0
108,20,30,0
109,11,6,1
110,10,13,0
111,13,16,0
112,8,19,0
113,7,6,1
114,22,2,1
115,24,30,1
116,32,34,1
117,24,26,1
118,22,2,1
119,11,16,0
120,32,25,1
121,9,33,1
122,2,29,0
123,31,33,1
124,1,18,1
125,7,26,0
126,4,29,0
127,20,31,0
128,14,4,1
129,10,21,0
130,9,20,0
131,22,32,0
132,11,28,0
133,20,2,1
134,1,6,1
135,4,34,0
136,10,24,0
137,11,27,0
138,14,31,0
139,14,4,1
140,9,14,0
141,33,15,1
142,19,28,0
143,18,26,0
144,9,10,0
145,34,21,1
146,24,30,1
147,1,2,1
148,14,2,1
149,28,29,0
150,2,17,0
151,6,20,0
