d3mIndex,sourceNodeID,targetNodeID,rank
1,16,17,926.5
4,115,17,47.5
1761,89,373,913.0
1969,570,373,34.0
3521,17,795,884.0
4115,809,795,5.0
5282,18,1114,881.5
6383,1101,1114,2.5
7042,107,1321,894.0
7365,1322,1321,15.0
8802,106,1139,884.5
9371,1153,1139,5.5
10562,22,1233,882.5
11806,1232,1233,3.5
12322,108,100,886.5
12373,109,100,7.5
14082,116,16,902.5
14122,273,16,23.5
15842,19,1211,897.5
16552,1224,1211,18.5
17602,28,130,897.0
17752,213,130,18.0
19362,123,1195,883.0
20080,1361,1195,4.0
21122,20,169,903.0
21371,296,169,24.0
22882,29,349,894.0
23134,172,349,15.0
24642,113,438,892.0
24683,439,438,13.0
26402,21,326,885.0
26654,174,326,6.0
28162,114,80,897.0
28311,202,80,18.0
29922,30,412,886.5
29933,425,412,7.5
31682,258,1657,885.5
32390,1846,1657,6.5
33442,259,1116,888.0
34119,1117,1116,9.0
35202,397,522,885.5
35654,491,522,6.5
36962,270,717,884.5
37761,705,717,5.5
38722,23,844,883.5
39767,855,844,4.5
40482,411,1671,894.5
41066,1337,1671,15.5
42242,412,1320,885.0
42812,1319,1320,6.0
44002,31,1659,900.0
44565,1773,1659,21.0
45762,423,1196,894.0
46451,1209,1196,15.0
47522,424,518,883.5
47981,703,518,4.5
49283,125,704,893.5
49739,694,704,14.5
51043,437,693,917.0
51579,1633,693,38.0
52803,269,1530,898.5
53783,1543,1530,19.5
54563,596,190,896.0
54694,361,190,17.0
56323,597,1171,895.5
56870,1172,1171,16.5
58083,610,488,882.0
58840,482,488,3.0
59843,233,69,886.5
59949,200,69,7.5
61603,623,977,880.0
62559,978,977,1.0
63363,245,552,904.5
63503,553,552,25.5
65123,246,788,883.0
65764,802,788,4.0
66883,247,1306,880.5
67965,1100,1306,1.5
68643,248,1316,892.0
69141,1292,1316,13.0
70403,234,1138,883.5
70935,1152,1138,4.5
72163,235,1231,883.0
73366,1230,1231,4.0
73923,260,86,886.0
74062,207,86,7.0
75683,261,123,905.5
75713,133,123,26.5
77443,398,1189,901.5
78344,1190,1189,22.5
79203,271,194,895.0
79289,74,194,16.0
80963,272,1194,883.0
81856,1001,1194,4.0
82724,274,643,898.5
83435,655,643,19.5
84484,24,344,891.0
84723,343,344,12.0
86244,413,423,892.5
86425,449,423,13.5
88004,32,171,886.0
88215,325,171,7.0
89764,426,73,896.0
89862,193,73,17.0
91524,438,106,889.0
91675,396,106,10.0
93285,100,1345,885.0
93957,1359,1345,6.0
95045,236,1121,884.5
95844,721,1121,5.5
96806,624,322,885.5
97243,513,322,6.5
98566,117,698,885.0
99329,710,698,6.0
100326,249,1025,883.0
101327,852,1025,4.0
102086,250,1148,893.5
102641,1497,1148,14.5
103846,126,1318,882.5
104380,1331,1318,3.5
105606,33,1317,901.0
106086,1315,1317,22.0
107366,25,748,892.5
107500,762,748,13.5
109126,34,725,881.5
109877,713,725,2.5
110886,35,680,893.0
111620,679,680,14.0
112646,118,673,913.5
113368,681,673,34.5
114406,26,1371,901.5
115305,1525,1371,22.5
116166,128,184,895.5
116264,353,184,16.5
117926,119,985,892.5
118561,1178,985,13.5
119686,27,308,881.0
120053,487,308,2.0
121446,37,66,884.5
121504,67,66,5.5
